id_corredor,idade,genero,distancia,tempo_prova,cidade,estado,data_evento
65,,Masculino,5km,03:33:55,Petropolis,RJ,2023-12-20
66,,Feminino,5km,00:18:58,Sao paulo,SP,2023-09-14
67,,Feminino,10km,04:49:56,Gramado,RS,2023-05-16
68,45,Feminino,5km,02:52:26,Porto alegre,RS,2023-08-17
69,,Feminino,5km,00:20:25,Ouro preto,MG,2023-22-01
70,64,Masculino,5km,03:31:31,Rio de janeiro,RJ,2023-03-14
71,30,Masculino,10km,03:37:27,Petropolis,RJ,2023-19-10
72,65,Feminino,10km,05:56:30,Belo horizonte,MG,2023-25-01
73,34,Feminino,21km,00:33:15,Niteroi,RJ,2023-07-10
74,52,Feminino,21km,05:23:32,Uberlandia,MG,2023-28-03
75,35,Masculino,10km,01:34:44,Niteroi,RJ,2023-22-12
76,54,Feminino,10km,00:47:01,Sao paulo,SP,2023-05-09
77,52,Feminino,21km,00:32:52,Santos,SP,2023-03-29
78,63,Feminino,10km,00:45:33,Santos,SP,2023-05-20
79,,Feminino,5km,01:26:32,Niteroi,RJ,2023-03-08
80,29,Feminino,5km,00:50:40,Belo horizonte,MG,2023-09-12
81,44,Feminino,21km,00:36:37,Petropolis,RJ,2023-01-28
82,,Feminino,21km,00:49:49,Sao paulo,SP,2023-08-09
83,56,Masculino,10km,00:13:42,Santos,SP,2023-02-07
84,,Feminino,21km,03:47:34,Niteroi,RJ,2023-06-26
85,63,Feminino,10km,04:53:24,Santos,SP,2023-02-18
86,64,Masculino,21km,02:58:57,Uberlandia,MG,2023-10-31
87,53,Masculino,10km,01:45:56,Rio de janeiro,RJ,2023-26-03
88,40,Masculino,5km,00:31:41,Petropolis,RJ,2023-03-06
89,41,Feminino,21km,00:39:36,Caxias do sul,RS,2023-01-18
90,,Feminino,42km,01:41:03,Santos,SP,2023-16-01
91,,Feminino,5km,00:24:42,Uberlandia,MG,2023-17-11
92,40,Masculino,10km,04:42:10,Caxias do sul,RS,2023-11-09
93,,Masculino,21km,00:39:56,Petropolis,RJ,2023-10-10
94,63,Feminino,10km,02:59:26,Campinas,SP,2023-21-07
95,,Masculino,42km,04:41:02,Petropolis,RJ,2023-05-28
96,47,Masculino,21km,00:39:58,Santos,SP,2023-07-06
97,23,Masculino,21km,00:44:00,Rio de janeiro,RJ,2023-16-08
98,63,Feminino,42km,04:56:49,Uberlandia,MG,2023-11-02
99,42,Masculino,21km,02:53:53,Sao paulo,SP,2023-07-02
100,51,Feminino,5km,00:47:28,Sao paulo,SP,2023-18-02
101,43,Feminino,5km,03:49:11,Gramado,RS,2023-11-09
102,,Masculino,10km,02:20:57,Caxias do sul,RS,2023-17-05
103,,Masculino,10km,05:32:54,Uberlandia,MG,2023-04-30
104,46,Masculino,5km,00:37:42,Gramado,RS,2023-12-13
105,56,Masculino,10km,02:43:57,Sao paulo,SP,2023-10-05
106,49,Masculino,21km,03:10:32,Campinas,SP,2023-06-01
107,,Feminino,21km,00:31:53,Ouro preto,MG,2023-03-10
108,41,Masculino,5km,00:22:41,Uberlandia,MG,2023-12-27
109,43,Masculino,21km,00:43:58,Uberlandia,MG,2023-11-03
110,,Feminino,21km,00:34:31,Rio de janeiro,RJ,2023-02-24
111,,Feminino,5km,03:47:21,Sao paulo,SP,2023-01-23
112,,Feminino,5km,05:22:48,Ouro preto,MG,2023-03-18
113,,Masculino,10km,00:45:20,Caxias do sul,RS,2023-10-11
114,45,Feminino,5km,04:53:57,Niteroi,RJ,2023-10-11
115,64,Feminino,21km,01:47:37,Niteroi,RJ,2023-05-09
116,,Masculino,21km,05:37:11,Porto alegre,RS,2023-06-02
117,38,Masculino,10km,01:28:21,Belo horizonte,MG,2023-20-04
118,,Feminino,10km,00:21:00,Rio de janeiro,RJ,2023-10-05
119,,Masculino,42km,00:34:39,Santos,SP,2023-09-12
120,,Feminino,42km,02:22:59,Gramado,RS,2023-24-09
121,37,Feminino,10km,02:36:09,Caxias do sul,RS,2023-01-05
122,60,Masculino,10km,00:17:52,Petropolis,RJ,2023-08-06
123,,Feminino,5km,02:59:26,Petropolis,RJ,2023-04-05
124,,Feminino,21km,00:56:49,Caxias do sul,RS,2023-28-11
125,,Masculino,42km,00:19:50,Niteroi,RJ,2023-02-09
126,,Feminino,10km,04:53:39,Santos,SP,2023-08-28
127,,Feminino,10km,05:37:10,Ouro preto,MG,2023-11-01
128,53,Masculino,10km,04:19:58,Uberlandia,MG,2023-11-23
129,33,Masculino,5km,00:58:36,Campinas,SP,2023-05-15
130,32,Masculino,21km,00:43:16,Uberlandia,MG,2023-10-03
131,,Feminino,10km,00:48:17,Uberlandia,MG,2023-02-10
132,46,Masculino,5km,03:11:45,Porto alegre,RS,2023-11-23
133,27,Feminino,10km,00:10:03,Santos,SP,2023-05-09
134,40,Masculino,21km,00:27:20,Campinas,SP,2023-06-26
135,,Feminino,21km,00:32:59,Niteroi,RJ,2023-12-17
136,,Masculino,5km,00:13:43,Campinas,SP,2023-24-10
137,,Masculino,5km,00:24:34,Campinas,SP,2023-04-11
138,36,Masculino,10km,00:23:08,Petropolis,RJ,2023-07-03
139,,Feminino,5km,02:45:28,Santos,SP,2023-11-03
140,35,Feminino,10km,02:15:46,Porto alegre,RS,2023-04-03
141,,Masculino,10km,00:50:52,Porto alegre,RS,2023-09-03
142,65,Feminino,42km,00:10:08,Ouro preto,MG,2023-02-09
143,38,Feminino,42km,00:17:40,Niteroi,RJ,2023-04-27
144,54,Masculino,10km,01:47:33,Gramado,RS,2023-08-31
145,40,Feminino,42km,00:32:31,Rio de janeiro,RJ,2023-25-01
146,51,Masculino,5km,00:52:27,Ouro preto,MG,2023-01-03
147,23,Feminino,10km,00:49:34,Belo horizonte,MG,2023-09-18
148,29,Masculino,42km,00:13:42,Caxias do sul,RS,2023-07-07
149,,Masculino,42km,02:41:40,Santos,SP,2023-12-02
150,24,Masculino,5km,00:29:30,Gramado,RS,2023-02-02
151,,Feminino,21km,00:40:35,Porto alegre,RS,2023-08-12
152,,Feminino,5km,00:32:57,Petropolis,RJ,2023-10-04
153,,Feminino,5km,05:53:49,Porto alegre,RS,2023-24-08
154,27,Masculino,21km,00:25:18,Rio de janeiro,RJ,2023-11-08
155,35,Feminino,42km,03:49:44,Ouro preto,MG,2023-06-10
156,31,Masculino,5km,04:33:35,Uberlandia,MG,2023-08-01
157,,Masculino,5km,02:26:54,Rio de janeiro,RJ,2023-15-11
158,22,Feminino,5km,00:28:02,Santos,SP,2023-12-10
159,51,Feminino,5km,00:32:14,Rio de janeiro,RJ,2023-03-15
160,34,Feminino,5km,04:58:50,Niteroi,RJ,2023-10-08
161,,Masculino,5km,00:51:15,Ouro preto,MG,2023-11-08
162,20,Masculino,10km,00:17:18,Santos,SP,2023-07-30
163,45,Masculino,21km,00:50:02,Ouro preto,MG,2023-09-02
164,45,Feminino,10km,04:25:40,Niteroi,RJ,2023-08-14
165,,Masculino,5km,00:16:41,Uberlandia,MG,2023-03-16
166,,Feminino,42km,00:42:59,Petropolis,RJ,2023-28-04
167,63,Masculino,5km,04:53:00,Porto alegre,RS,2023-01-28
168,,Masculino,10km,02:38:20,Uberlandia,MG,2023-08-12
169,,Masculino,21km,02:59:49,Campinas,SP,2023-06-23
170,,Masculino,42km,03:40:36,Uberlandia,MG,2023-02-07
171,65,Masculino,5km,00:22:03,Belo horizonte,MG,2023-12-02
172,,Feminino,21km,02:15:36,Santos,SP,2023-09-16
173,39,Masculino,5km,00:18:02,Caxias do sul,RS,2023-10-02
174,56,Feminino,42km,05:49:08,Rio de janeiro,RJ,2023-09-03
175,44,Masculino,10km,02:49:00,Campinas,SP,2023-04-11
176,,Masculino,42km,00:51:47,Petropolis,RJ,2023-15-10
177,64,Feminino,21km,04:30:12,Uberlandia,MG,2023-03-04
178,,Feminino,21km,00:14:33,Belo horizonte,MG,2023-31-10
179,28,Masculino,42km,00:23:14,Porto alegre,RS,2023-11-27
180,24,Masculino,42km,00:20:37,Campinas,SP,2023-17-07
181,35,Feminino,5km,00:55:07,Niteroi,RJ,2023-03-22
182,,Masculino,42km,00:19:02,Petropolis,RJ,2023-01-01
183,21,Feminino,5km,02:41:05,Sao paulo,SP,2023-09-07
184,49,Masculino,5km,03:32:00,Gramado,RS,2023-10-03
185,,Feminino,42km,01:11:37,Santos,SP,2023-16-02
186,61,Masculino,10km,05:41:34,Campinas,SP,2023-02-10
187,63,Masculino,10km,05:12:20,Caxias do sul,RS,2023-04-03
188,25,Masculino,10km,01:11:07,Niteroi,RJ,2023-25-06
189,52,Masculino,5km,04:11:59,Caxias do sul,RS,2023-16-11
190,64,Feminino,10km,02:22:28,Campinas,SP,2023-08-02
191,28,Feminino,21km,05:12:43,Petropolis,RJ,2023-06-15
192,46,Feminino,42km,03:55:14,Ouro preto,MG,2023-04-16
193,55,Masculino,10km,00:45:18,Campinas,SP,2023-28-10
194,25,Masculino,5km,00:38:19,Petropolis,RJ,2023-30-08
195,,Masculino,42km,05:58:37,Campinas,SP,2023-12-25
196,56,Masculino,5km,00:16:54,Gramado,RS,2023-31-07
197,36,Masculino,10km,04:54:39,Porto alegre,RS,2023-10-13
198,,Feminino,10km,03:34:11,Rio de janeiro,RJ,2023-21-01
199,24,Feminino,21km,00:22:05,Santos,SP,2023-07-14
200,,Feminino,21km,04:16:21,Sao paulo,SP,2023-09-06
201,25,Masculino,5km,00:23:20,Belo horizonte,MG,2023-09-22
202,37,Feminino,21km,01:26:05,Santos,SP,2023-11-05
203,37,Masculino,5km,00:15:21,Petropolis,RJ,2023-22-03
204,32,Feminino,5km,00:21:05,Belo horizonte,MG,2023-12-13
205,27,Feminino,42km,00:33:30,Petropolis,RJ,2023-07-01
206,57,Feminino,21km,00:16:06,Caxias do sul,RS,2023-10-04
207,36,Feminino,42km,00:16:40,Caxias do sul,RS,2023-27-09
208,30,Masculino,42km,03:54:09,Belo horizonte,MG,2023-08-08
209,46,Feminino,21km,00:42:43,Sao paulo,SP,2023-18-02
210,,Feminino,5km,05:32:52,Uberlandia,MG,2023-06-25
211,26,Feminino,5km,01:25:23,Rio de janeiro,RJ,2023-12-20
212,45,Masculino,42km,05:28:50,Niteroi,RJ,2023-02-01
213,,Feminino,42km,01:48:07,Campinas,SP,2023-09-01
214,60,Masculino,21km,01:32:19,Niteroi,RJ,2023-05-09
215,,Masculino,10km,01:37:22,Ouro preto,MG,2023-06-13
216,58,Masculino,21km,00:35:56,Porto alegre,RS,2023-18-04
217,,Feminino,42km,00:28:01,Santos,SP,2023-16-04
218,42,Feminino,10km,00:51:20,Caxias do sul,RS,2023-12-22
219,,Masculino,42km,00:58:03,Niteroi,RJ,2023-11-06
220,65,Feminino,10km,05:52:38,Caxias do sul,RS,2023-12-17
221,51,Feminino,10km,05:15:22,Gramado,RS,2023-04-17
222,63,Feminino,5km,05:49:16,Niteroi,RJ,2023-09-09
223,63,Masculino,10km,01:25:26,Sao paulo,SP,2023-08-10
224,49,Feminino,42km,05:32:15,Porto alegre,RS,2023-01-14
225,37,Masculino,5km,03:49:42,Campinas,SP,2023-02-05
226,49,Feminino,10km,01:10:42,Santos,SP,2023-11-10
227,,Feminino,5km,00:15:34,Sao paulo,SP,2023-12-24
228,36,Feminino,10km,04:30:53,Caxias do sul,RS,2023-13-04
229,,Masculino,10km,00:32:14,Campinas,SP,2023-23-11
230,,Feminino,5km,00:27:32,Ouro preto,MG,2023-08-17
231,61,Feminino,10km,00:28:52,Petropolis,RJ,2023-04-03
232,,Feminino,42km,02:58:02,Caxias do sul,RS,2023-09-03
233,,Masculino,5km,01:49:40,Ouro preto,MG,2023-05-20
234,26,Feminino,10km,00:48:58,Uberlandia,MG,2023-06-25
235,27,Masculino,21km,03:21:00,Petropolis,RJ,2023-28-01
236,41,Feminino,5km,05:42:11,Uberlandia,MG,2023-06-04
237,44,Masculino,5km,01:58:11,Sao paulo,SP,2023-13-11
238,22,Feminino,10km,00:52:57,Caxias do sul,RS,2023-15-06
239,38,Masculino,10km,00:26:39,Santos,SP,2023-04-16
240,57,Masculino,21km,00:29:52,Petropolis,RJ,2023-03-16
241,20,Feminino,21km,00:39:03,Campinas,SP,2023-17-10
242,42,Feminino,5km,00:12:09,Campinas,SP,2023-10-19
243,57,Feminino,10km,01:42:04,Niteroi,RJ,2023-04-07
244,64,Masculino,21km,01:23:24,Niteroi,RJ,2023-10-29
245,44,Feminino,10km,00:13:59,Belo horizonte,MG,2023-01-06
246,,Masculino,42km,02:26:03,Campinas,SP,2023-02-14
247,,Masculino,5km,00:39:01,Gramado,RS,2023-02-05
248,19,Masculino,42km,03:56:36,Ouro preto,MG,2023-06-10
249,58,Masculino,5km,01:52:02,Belo horizonte,MG,2023-02-09
250,61,Masculino,10km,00:29:56,Ouro preto,MG,2023-17-08
251,65,Feminino,21km,00:38:22,Ouro preto,MG,2023-06-20
252,,Feminino,5km,00:15:27,Santos,SP,2023-11-05
253,39,Masculino,10km,00:15:02,Santos,SP,2023-09-01
254,,Feminino,21km,00:24:23,Caxias do sul,RS,2023-05-25
255,,Masculino,10km,00:14:40,Uberlandia,MG,2023-02-05
256,46,Feminino,10km,00:44:16,Belo horizonte,MG,2023-01-06
257,46,Masculino,21km,01:43:45,Caxias do sul,RS,2023-03-25
258,44,Feminino,5km,00:50:30,Petropolis,RJ,2023-09-04
259,51,Feminino,10km,05:31:34,Porto alegre,RS,2023-23-10
260,41,Masculino,10km,01:55:46,Rio de janeiro,RJ,2023-24-05
261,41,Masculino,21km,05:16:53,Campinas,SP,2023-22-08
262,,Feminino,10km,05:50:14,Ouro preto,MG,2023-05-06
263,,Feminino,42km,04:46:52,Porto alegre,RS,2023-07-22
264,,Masculino,10km,04:32:05,Belo horizonte,MG,2023-24-03
265,61,Feminino,5km,02:54:05,Caxias do sul,RS,2023-10-04
266,61,Masculino,42km,00:45:32,Niteroi,RJ,2023-06-11
267,,Masculino,42km,00:37:27,Gramado,RS,2023-03-01
268,43,Feminino,10km,00:23:54,Uberlandia,MG,2023-01-04
269,,Feminino,21km,00:25:22,Rio de janeiro,RJ,2023-11-11
270,57,Masculino,10km,03:29:17,Gramado,RS,2023-03-04
271,,Masculino,5km,05:51:23,Belo horizonte,MG,2023-10-14
272,24,Feminino,42km,00:40:48,Ouro preto,MG,2023-20-10
273,19,Masculino,21km,05:45:14,Caxias do sul,RS,2023-05-12
274,29,Masculino,42km,03:55:55,Belo horizonte,MG,2023-01-30
275,,Feminino,42km,00:46:15,Uberlandia,MG,2023-05-11
276,41,Feminino,10km,01:51:17,Porto alegre,RS,2023-28-03
277,60,Feminino,21km,00:48:05,Belo horizonte,MG,2023-11-13
278,,Masculino,5km,03:12:34,Uberlandia,MG,2023-05-16
279,,Masculino,5km,00:47:43,Porto alegre,RS,2023-12-12
280,49,Feminino,10km,02:24:27,Niteroi,RJ,2023-01-27
281,54,Masculino,10km,05:45:32,Niteroi,RJ,2023-08-28
282,54,Masculino,21km,00:27:21,Gramado,RS,2023-10-09
283,,Feminino,10km,00:25:18,Uberlandia,MG,2023-06-15
284,,Feminino,10km,01:32:10,Uberlandia,MG,2023-12-07
285,,Masculino,21km,00:23:05,Uberlandia,MG,2023-02-22
286,,Masculino,10km,03:25:40,Belo horizonte,MG,2023-04-13
287,29,Masculino,10km,00:12:07,Gramado,RS,2023-06-10
288,19,Feminino,42km,05:29:14,Sao paulo,SP,2023-31-05
289,50,Feminino,5km,00:10:35,Belo horizonte,MG,2023-11-11
290,,Masculino,5km,01:17:04,Uberlandia,MG,2023-02-06
291,56,Masculino,42km,01:33:37,Sao paulo,SP,2023-23-03
292,45,Masculino,10km,01:55:44,Uberlandia,MG,2023-05-14
293,29,Feminino,10km,00:21:50,Gramado,RS,2023-08-29
294,19,Feminino,10km,00:14:35,Gramado,RS,2023-05-28
295,48,Feminino,5km,05:39:05,Sao paulo,SP,2023-01-01
296,43,Masculino,5km,00:54:39,Gramado,RS,2023-10-19
297,,Feminino,42km,00:55:35,Sao paulo,SP,2023-08-20
298,58,Masculino,10km,03:10:12,Santos,SP,2023-02-24
299,58,Masculino,5km,00:39:22,Rio de janeiro,RJ,2023-03-01
300,,Masculino,10km,03:18:26,Petropolis,RJ,2023-12-03
301,30,Feminino,10km,00:51:47,Santos,SP,2023-28-04
302,43,Feminino,5km,04:52:26,Sao paulo,SP,2023-02-26
303,41,Feminino,42km,00:21:44,Belo horizonte,MG,2023-06-11
304,,Masculino,21km,01:39:48,Porto alegre,RS,2023-07-22
305,,Masculino,42km,05:25:45,Belo horizonte,MG,2023-07-02
306,,Feminino,5km,03:47:01,Belo horizonte,MG,2023-07-08
307,44,Feminino,42km,01:19:43,Porto alegre,RS,2023-04-02
308,60,Feminino,10km,00:27:21,Ouro preto,MG,2023-02-15
309,25,Masculino,5km,00:42:04,Ouro preto,MG,2023-09-23
310,48,Masculino,10km,00:25:16,Porto alegre,RS,2023-21-02
311,,Masculino,10km,00:14:19,Uberlandia,MG,2023-23-01
312,25,Masculino,21km,03:47:30,Campinas,SP,2023-05-11
313,,Feminino,42km,03:18:03,Campinas,SP,2023-14-03
314,27,Masculino,10km,01:45:13,Belo horizonte,MG,2023-11-13
315,,Feminino,10km,03:17:14,Porto alegre,RS,2023-07-07
316,42,Masculino,5km,00:22:01,Petropolis,RJ,2023-10-17
317,37,Masculino,10km,00:26:38,Belo horizonte,MG,2023-01-04
318,,Masculino,10km,00:45:31,Belo horizonte,MG,2023-14-01
319,60,Masculino,10km,00:19:58,Caxias do sul,RS,2023-13-07
320,31,Masculino,42km,00:37:17,Sao paulo,SP,2023-02-04
321,,Feminino,5km,00:12:08,Belo horizonte,MG,2023-12-09
322,41,Feminino,21km,04:13:05,Porto alegre,RS,2023-12-19
323,39,Feminino,5km,02:29:11,Belo horizonte,MG,2023-28-10
324,34,Masculino,10km,00:11:27,Santos,SP,2023-09-24
325,,Feminino,5km,02:15:56,Niteroi,RJ,2023-12-30
326,,Masculino,5km,01:54:29,Campinas,SP,2023-04-05
327,20,Masculino,42km,00:48:31,Sao paulo,SP,2023-28-11
328,25,Feminino,10km,03:46:29,Sao paulo,SP,2023-10-11
329,,Masculino,10km,00:12:20,Sao paulo,SP,2023-10-08
330,58,Feminino,5km,00:14:50,Uberlandia,MG,2023-03-15
331,31,Masculino,42km,00:42:56,Belo horizonte,MG,2023-03-25
332,59,Masculino,21km,04:33:12,Niteroi,RJ,2023-04-03
333,52,Masculino,21km,00:13:38,Rio de janeiro,RJ,2023-10-29
334,,Masculino,10km,00:44:02,Rio de janeiro,RJ,2023-02-24
335,58,Masculino,5km,00:51:55,Gramado,RS,2023-10-02
336,,Masculino,42km,00:38:43,Belo horizonte,MG,2023-28-02
337,54,Feminino,10km,05:24:25,Gramado,RS,2023-07-28
338,,Feminino,10km,01:41:18,Rio de janeiro,RJ,2023-16-09
339,52,Feminino,10km,04:26:42,Sao paulo,SP,2023-26-06
340,55,Feminino,21km,05:31:47,Petropolis,RJ,2023-05-08
341,,Masculino,10km,05:57:14,Rio de janeiro,RJ,2023-18-10
342,24,Feminino,5km,00:50:00,Porto alegre,RS,2023-05-09
343,52,Feminino,21km,05:45:28,Sao paulo,SP,2023-08-03
344,47,Masculino,21km,04:59:55,Sao paulo,SP,2023-03-24
345,38,Feminino,5km,02:41:13,Gramado,RS,2023-10-24
346,49,Feminino,10km,00:35:24,Caxias do sul,RS,2023-02-13
347,25,Masculino,5km,00:14:23,Gramado,RS,2023-10-14
348,29,Masculino,21km,05:50:06,Uberlandia,MG,2023-09-23
349,,Masculino,10km,04:49:13,Campinas,SP,2023-09-08
350,36,Masculino,5km,00:40:14,Caxias do sul,RS,2023-12-17
351,30,Masculino,5km,01:18:11,Caxias do sul,RS,2023-20-10
352,31,Feminino,5km,05:31:38,Gramado,RS,2023-01-26
353,60,Masculino,10km,00:17:54,Santos,SP,2023-05-12
354,,Masculino,21km,03:52:33,Porto alegre,RS,2023-03-11
355,,Masculino,21km,00:17:16,Petropolis,RJ,2023-03-09
356,57,Feminino,5km,00:51:03,Campinas,SP,2023-01-17
357,,Feminino,21km,00:55:20,Rio de janeiro,RJ,2023-10-31
358,40,Feminino,5km,00:42:11,Porto alegre,RS,2023-07-23
359,22,Feminino,21km,01:45:59,Campinas,SP,2023-09-02
360,,Feminino,21km,00:25:27,Campinas,SP,2023-26-11
361,37,Masculino,10km,04:13:45,Porto alegre,RS,2023-09-24
362,50,Masculino,42km,00:22:32,Santos,SP,2023-07-11
363,43,Feminino,10km,01:17:44,Campinas,SP,2023-07-16
364,,Feminino,5km,00:59:54,Sao paulo,SP,2023-10-12
365,60,Masculino,21km,00:11:33,Rio de janeiro,RJ,2023-11-20
366,51,Masculino,42km,05:19:41,Campinas,SP,2023-17-04
367,25,Masculino,42km,05:50:42,Belo horizonte,MG,2023-17-06
368,56,Feminino,5km,00:55:41,Campinas,SP,2023-06-11
369,56,Feminino,5km,05:58:06,Santos,SP,2023-12-21
370,31,Feminino,42km,00:59:42,Santos,SP,2023-06-25
371,27,Feminino,42km,01:10:55,Sao paulo,SP,2023-14-11
372,40,Feminino,5km,05:53:25,Petropolis,RJ,2023-11-22
373,53,Feminino,5km,05:11:30,Porto alegre,RS,2023-05-31
374,,Feminino,10km,00:14:22,Rio de janeiro,RJ,2023-04-21
375,,Masculino,10km,02:39:35,Rio de janeiro,RJ,2023-09-07
376,65,Feminino,5km,01:20:25,Porto alegre,RS,2023-02-19
377,,Masculino,10km,03:58:09,Ouro preto,MG,2023-10-13
378,53,Feminino,10km,02:11:46,Campinas,SP,2023-01-30
379,22,Feminino,21km,03:59:00,Santos,SP,2023-05-04
380,18,Feminino,42km,00:14:50,Porto alegre,RS,2023-01-02
381,,Masculino,5km,03:30:12,Rio de janeiro,RJ,2023-03-05
382,43,Masculino,5km,00:25:47,Ouro preto,MG,2023-29-08
383,,Feminino,10km,04:11:16,Porto alegre,RS,2023-05-28
384,,Feminino,21km,01:35:46,Petropolis,RJ,2023-09-29
385,27,Masculino,10km,00:27:18,Uberlandia,MG,2023-02-08
386,26,Masculino,21km,00:34:54,Petropolis,RJ,2023-05-08
387,,Masculino,5km,00:56:16,Rio de janeiro,RJ,2023-16-05
388,,Feminino,10km,02:51:04,Porto alegre,RS,2023-11-07
389,59,Masculino,10km,01:57:51,Campinas,SP,2023-08-03
390,,Masculino,10km,00:31:42,Belo horizonte,MG,2023-01-05
391,,Feminino,5km,00:23:40,Petropolis,RJ,2023-11-28
392,31,Masculino,21km,00:29:36,Porto alegre,RS,2023-17-05
393,42,Masculino,42km,04:53:41,Santos,SP,2023-03-22
394,,Masculino,42km,00:33:49,Ouro preto,MG,2023-05-01
395,26,Masculino,5km,01:27:32,Ouro preto,MG,2023-09-04
396,22,Masculino,21km,00:46:11,Santos,SP,2023-25-04
397,,Feminino,5km,02:11:42,Gramado,RS,2023-06-25
398,41,Feminino,42km,03:21:12,Caxias do sul,RS,2023-10-05
399,33,Masculino,5km,04:39:33,Campinas,SP,2023-29-06
400,19,Masculino,5km,00:22:29,Sao paulo,SP,2023-04-21
401,31,Masculino,10km,00:54:18,Belo horizonte,MG,2023-09-30
402,,Feminino,5km,00:11:25,Porto alegre,RS,2023-08-09
403,,Feminino,10km,00:56:54,Sao paulo,SP,2023-09-14
404,30,Masculino,5km,01:20:29,Porto alegre,RS,2023-07-12
